Parent Company,Average Sentiment
Apple,-0.3857982123830034
Microsoft,-0.47114773279796107
Alphabet,-0.6673172314307368
Amazon,-0.45283671791201163
Nvidia,-0.6346746415080213
Tesla,-0.3514107460936953
Meta,-0.16599435774971094
