Parent Company,Average Sentiment,Interactions,Positive Sentiments,Negative Sentiments,Neutral Sentiments
Apple,-0.04,55040.63,22,107,971
Microsoft,-0.037,106983.3,36,139,1390
Alphabet,-0.042,51219.6,14,75,610
Amazon,-0.045,53432.13,14,112,1015
Nvidia,-0.012,102716.11,62,133,1706
Tesla,-0.081,86765.08,40,183,959
Meta,-0.01,79531.52,25,41,717
